iter	Passed	Remaining
0	0	53
1	0	47
2	1	50
3	1	46
4	2	48
5	2	46
6	3	46
7	3	44
8	4	43
9	4	42
10	5	42
11	5	41
12	6	40
13	6	39
14	6	39
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	35
21	9	35
22	10	34
23	10	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	32
30	14	31
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	29
38	18	28
39	18	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	26
45	22	26
46	22	25
47	23	25
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
