iter	Passed	Remaining
0	64	64051
1	65	32534
2	66	22001
3	67	16700
4	68	13566
5	68	11425
6	69	9899
7	70	8753
8	71	7878
9	72	7222
10	74	6656
11	74	6172
12	75	5752
13	76	5401
14	77	5098
15	78	4836
16	79	4603
17	80	4394
18	81	4208
19	82	4042
20	86	4010
21	86	3866
22	88	3740
23	88	3617
24	89	3501
25	90	3393
26	91	3295
27	92	3214
28	93	3131
29	94	3057
30	95	2992
31	96	2927
32	97	2862
33	98	2803
34	99	2755
35	101	2705
36	102	2659
37	103	2613
38	104	2568
39	105	2524
40	106	2482
41	107	2446
42	108	2409
43	109	2378
44	110	2350
45	111	2317
46	112	2284
47	113	2256
48	114	2227
49	115	2199
50	116	2171
51	117	2149
52	118	2125
53	119	2099
54	120	2076
55	121	2051
56	122	2031
57	125	2030
58	126	2010
59	127	1991
60	127	1970
61	129	1953
62	130	1938
63	131	1920
64	132	1903
65	133	1887
66	134	1873
67	135	1859
68	136	1844
69	137	1831
70	138	1817
71	140	1805
72	141	1794
73	142	1782
74	143	1771
75	144	1759
76	145	1749
77	146	1737
78	148	1726
79	149	1714
80	150	1703
81	151	1692
82	151	1676
83	152	1666
84	153	1656
85	154	1645
86	155	1635
87	156	1626
88	157	1616
89	158	1606
90	159	1597
91	161	1589
92	162	1581
93	163	1580
94	164	1571
95	166	1569
96	167	1561
97	168	1554
98	170	1547
99	170	1538
100	171	1530
101	173	1523
102	174	1515
103	175	1508
104	176	1501
105	177	1493
106	178	1486
107	179	1481
108	180	1473
109	181	1466
110	182	1459
111	183	1453
112	184	1446
113	185	1439
114	186	1433
115	187	1426
116	187	1418
117	188	1411
118	189	1405
119	191	1400
120	192	1394
121	192	1386
122	193	1380
123	194	1377
124	196	1373
125	196	1366
126	197	1358
127	198	1352
128	199	1346
129	200	1339
130	201	1333
131	201	1328
132	202	1321
133	203	1315
134	204	1309
135	205	1303
136	205	1296
137	206	1292
138	207	1286
139	208	1281
140	209	1278
141	210	1271
142	211	1268
143	212	1264
144	213	1261
145	214	1256
146	215	1251
147	216	1246
148	217	1241
149	218	1237
150	219	1232
151	220	1229
152	221	1225
153	222	1221
154	223	1218
155	224	1215
156	225	1211
157	226	1207
158	227	1205
159	229	1202
160	229	1196
161	230	1194
162	231	1190
163	232	1185
164	233	1181
165	234	1176
166	235	1172
167	235	1168
168	236	1164
169	237	1160
170	238	1156
171	239	1153
172	240	1148
173	241	1144
174	241	1140
175	242	1136
176	243	1133
177	244	1130
178	245	1126
179	246	1122
180	247	1118
181	247	1114
182	248	1110
183	249	1107
184	250	1103
185	251	1099
186	252	1096
187	253	1094
188	254	1091
189	255	1088
190	256	1085
191	257	1081
192	258	1080
193	259	1077
194	259	1073
195	261	1071
196	262	1068
197	262	1065
198	263	1061
199	264	1058
200	265	1054
201	266	1051
202	267	1048
203	268	1045
204	268	1043
205	269	1040
206	270	1037
207	271	1033
208	272	1031
209	273	1028
210	274	1025
211	275	1022
212	275	1019
213	276	1016
214	277	1013
215	278	1010
216	279	1007
217	280	1004
218	280	1001
219	281	999
220	282	996
221	283	994
222	284	992
223	285	990
224	286	987
225	287	984
226	288	981
227	289	979
228	289	976
229	290	973
230	291	970
231	292	967
232	293	964
233	293	961
234	294	959
235	295	956
236	296	953
237	297	950
238	297	948
239	298	945
240	299	942
241	300	940
242	301	937
243	301	935
244	302	932
245	303	930
246	304	927
247	305	925
248	306	922
249	306	920
250	307	917
251	308	915
252	309	913
253	309	910
254	310	908
255	311	905
256	312	903
257	313	901
258	314	899
259	315	896
260	316	894
261	316	892
262	317	889
263	318	887
264	319	884
265	319	882
266	320	879
267	321	877
268	321	874
269	322	872
270	323	870
271	324	867
272	325	865
273	325	863
274	326	860
275	327	857
276	327	855
277	328	853
278	329	850
279	329	848
280	330	846
281	331	844
